A1,A2,A3,A4,A5
1,-0.00412521,0.0867296,597.028,1
1,0.0310286,0.0756961,596.079,1
1,0.0156778,0.0587681,595.293,1
1,0.0145246,0.0481071,594.774,1
1,0.0103487,0.0405679,594.294,1
1,0.00773969,0.0343256,593.553,1
1,-0.0122697,0.0433701,593.477,1
1,-0.00716191,0.0586364,593.01,1
1,-0.0158899,0.0589871,591.985,1
1,-0.0135056,0.0599116,591.866,1
1,0.00645759,0.0647221,591.011,1
1,0.00501269,0.0557429,590.796,1
1,0.0124555,0.0667064,591.17,1
1,0.00540689,0.0683351,590.967,1
1,0.0373379,-0.0900914,573.458,1
1,0.00862489,-0.0897741,573.517,1
1,0.00645909,-0.0934826,573.097,1
1,-0.00155911,-0.114599,572.367,1
1,0.000253687,-0.117615,572.049,1
1,-0.000604613,-0.117576,572.056,1
1,0.000350587,-0.106503,571.966,1
1,-0.00389151,-0.0785644,572.261,1
1,-0.00834921,-0.0757756,572.321,1
1,-0.00840971,-0.0724634,572.05,1
1,0.00300969,-0.0675101,571.479,1
1,0.00414739,-0.0849326,571.089,1
1,0.00384459,-0.0915804,570.552,1
1,-0.000563413,-0.102963,570.494,1
1,-0.00530461,-0.122065,564.488,3
1,0.00801779,-0.120737,564.914,3
1,0.00265459,-0.112087,564.779,3
1,-0.00313951,-0.100801,564.566,3
1,-0.000188313,-0.123099,564.173,3
1,0.000234187,-0.124819,563.823,3
1,0.00436789,-0.141884,563.459,3
1,0.00978639,-0.165169,562.84,3
1,0.00249489,-0.174365,562.967,3
1,-0.00232751,-0.185459,562.606,3
1,-0.0107404,-0.184923,562.287,3
1,-0.0185943,-0.191929,562.706,3
1,-0.00429181,-0.194147,562.297,3
1,-0.00394931,-0.196517,562.413,3
1,0.0103468,-0.107201,557.769,2
1,0.00220719,-0.104555,557.583,2
1,0.00166619,-0.0922931,557.561,2
1,-0.00329421,-0.100282,557.349,2
1,-0.000192613,-0.108595,556.695,2
1,0.0108942,-0.105624,556.177,2
1,0.00824689,-0.113836,555.83,2
1,-0.00248931,-0.0353254,548.979,2
1,-0.00181001,-0.00678339,548.619,2
1,-0.00891651,0.00667336,548.314,2
1,0.00374059,-0.0168091,547.261,2
1,6.01E-05,-0.0341316,547.006,2
1,-0.00499801,-0.0597336,546.812,2
1,0.00864989,-0.0401149,546.922,2
1,0.00686459,-0.169157,550.079,3
1,0.0290509,-0.155522,549.758,3
1,0.0234903,-0.159872,549.77,3
1,0.00223259,-0.16157,550.142,3
1,-0.00626271,-0.168402,550.406,3
1,-0.00835731,-0.171725,550.45,3
1,0.00463279,-0.172614,549.946,3
1,0.00786749,-0.178405,550.06,3
1,0.00705589,-0.179041,549.856,3
1,0.00470539,-0.182387,549.964,3
1,-0.0110016,-0.191649,550.222,3
1,-0.00971091,-0.1963,550.112,3
1,-0.00618381,-0.205978,550.167,3
1,-0.0220625,-0.17095,549.854,3
